n_qubits,gs_sparsity,ham_sparsity,overlap,actual_overlap,Q_frac,Q_int,epsilon,seed,dim,gs_support_size,ham_nnz,gap,true_ground_energy,krab_final_energy,krab_rel_error_final,krab_final_subspace,krab_iterations_run,krab_max_iterations,krab_native_converged,krab_iter_to_target,krab_subspace_at_target,krab_n_states_to_target,krab_walltime_s,skqd_best_t,skqd_best_n_states_to_target,skqd_any_converged,skqd_best_final_energy,skqd_walltime_s,rand_median_n_states_to_target,rand_min_n_states_to_target,n_random_paths,krab_beats_skqd,advantage_ratio
6,0.05,0.1,0.5,0.4928031770049739,0.1,6,0.0001,42,64,4,510,1.0,-5.000000000000008,-5.000000000000001,1.421085471520198e-15,4,1,30,True,0,6,4,0.0014982090797275305,0.9,6,True,-5.000000000000045,1.1645457870326936,53.5,19,20,True,1.5
6,0.05,0.1,0.8,0.4928031770049739,0.05,3,1e-06,42,64,4,510,1.0,-5.000000000000008,-5.000000000000001,1.421085471520198e-15,4,2,60,True,1,6,4,0.0019863001070916653,0.5,5,True,-5.000000000000034,1.1656786550302058,48.0,28,20,True,1.25
6,0.05,0.1,0.8,0.4928031770049739,0.05,3,1e-07,42,64,4,510,1.0,-5.000000000000008,-5.000000000000001,1.421085471520198e-15,4,2,60,True,1,6,4,0.002011643024161458,0.9,5,True,-5.000000000000033,1.1814242850523442,51.5,8,20,True,1.25
6,0.05,0.1,0.3,0.3137098842006708,0.1,6,1e-06,42,64,4,510,1.0,-5.000000000000008,-4.999999999999998,1.9539925233402725e-15,4,2,30,True,1,12,4,0.0021401098929345608,0.4,8,True,-5.000000000000039,1.1894578849896789,51.5,25,20,True,2.0
6,0.05,0.1,0.5,0.4928031770049739,0.1,6,1e-06,42,64,4,510,1.0,-5.000000000000008,-5.000000000000001,1.421085471520198e-15,4,1,30,True,0,6,4,0.0015133379492908716,0.1,6,True,-5.000000000000031,1.173011293169111,54.0,30,20,True,1.5
6,0.05,0.1,0.5,0.4928031770049739,0.05,3,1e-07,42,64,4,510,1.0,-5.000000000000008,-5.000000000000001,1.421085471520198e-15,4,2,60,True,1,6,4,0.0020507010631263256,0.6,6,True,-5.000000000000036,1.1736387631390244,52.5,14,20,True,1.5
6,0.05,0.1,0.5,0.4928031770049739,0.05,3,1e-06,42,64,4,510,1.0,-5.000000000000008,-5.000000000000001,1.421085471520198e-15,4,2,60,True,1,6,4,0.0019913369324058294,0.001,5,True,-5.000000000000027,1.1793382100295275,54.5,15,20,True,1.25
6,0.05,0.1,0.5,0.4928031770049739,0.1,6,1e-05,42,64,4,510,1.0,-5.000000000000008,-5.000000000000001,1.421085471520198e-15,4,1,30,True,0,6,4,0.0015445309691131115,0.9,5,True,-5.0000000000000355,1.1911154941190034,54.5,16,20,True,1.25
6,0.05,0.1,0.5,0.4928031770049739,0.05,3,0.0001,42,64,4,510,1.0,-5.000000000000008,-5.000000000000001,1.421085471520198e-15,4,2,60,True,1,6,4,0.002006903989240527,0.001,4,True,-5.000000000000037,1.187205214984715,50.0,39,20,False,1.0
6,0.05,0.1,0.5,0.4928031770049739,0.1,6,1e-07,42,64,4,510,1.0,-5.000000000000008,-5.000000000000001,1.421085471520198e-15,4,1,30,True,0,6,4,0.0015247820410877466,0.001,4,True,-5.000000000000022,1.1691410830244422,48.0,20,20,False,1.0
6,0.05,0.1,0.3,0.3137098842006708,0.1,6,1e-07,42,64,4,510,1.0,-5.000000000000008,-4.999999999999998,1.9539925233402725e-15,4,2,30,True,1,12,4,0.0021658700425177813,0.2,5,True,-5.000000000000025,1.170266862027347,57.0,25,20,True,1.25
6,0.05,0.1,0.5,0.4928031770049739,0.05,3,1e-05,42,64,4,510,1.0,-5.000000000000008,-5.000000000000001,1.421085471520198e-15,4,2,60,True,1,6,4,0.002136338036507368,0.8,7,True,-5.000000000000033,1.1928476649336517,54.5,14,20,True,1.75
6,0.05,0.1,0.3,0.3137098842006708,0.05,3,1e-07,42,64,4,510,1.0,-5.000000000000008,-4.999999999999998,1.9539925233402725e-15,4,2,60,True,1,6,4,0.0020109941251575947,0.6,7,True,-5.000000000000033,1.1923316100146621,48.0,26,20,True,1.75
6,0.05,0.1,0.1,0.102226716202623,0.1,6,0.0001,42,64,4,510,1.0,-5.000000000000008,-5.000000000000002,1.2434497875801733e-15,4,2,30,True,1,12,4,0.0020804060623049736,0.8,8,True,-5.00000000000003,1.1758120630402118,52.0,33,20,True,2.0
