Hamiltonian_Index,Number_of_Sites,Max_Interactions,Ground_State_Density,Hamiltonian_Density,Overlap,Initial_State_Index,Algorithm,Budget,Budget_Fraction,Fidelity,Final_Pool_Size,Final_Pool_Fraction,Terminated_Early,Seed
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,1,0.000244140625,0.09923810989772437,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,2,0.00048828125,0.3198985300817074,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,3,0.000732421875,0.5025755220614715,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,4,0.0009765625,0.6074423890048597,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,5,0.001220703125,0.6194739480033775,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,6,0.00146484375,0.6483362524826148,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,8,0.001953125,0.6647424631183373,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,11,0.002685546875,0.7094279904637096,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,14,0.00341796875,0.7099373365009591,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,18,0.00439453125,0.7950062885956602,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,23,0.005615234375,0.8688662000523583,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,31,0.007568359375,0.8842285639191735,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,40,0.009765625,0.9231428841213647,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,52,0.0126953125,0.9333645942158736,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,67,0.016357421875,0.9399049513234063,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,87,0.021240234375,0.9449748532436478,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,114,0.02783203125,0.9540801340313396,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,148,0.0361328125,0.9566999212593607,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,192,0.046875,0.9579298226276902,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,250,0.06103515625,0.9681843233659769,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,325,0.079345703125,0.9734630314468264,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,423,0.103271484375,0.9736016843922304,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,550,0.13427734375,0.9872343588575688,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,715,0.174560546875,0.9960734750390312,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,931,0.227294921875,0.9996978488985527,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,1210,0.29541015625,0.9999385877750481,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,1575,0.384521484375,0.9999954933864929,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,BARK,2048,0.5,1.0,2048.0,0.5,False,2120151021
0,12,2,0.158935546875,0.003173828125,0.09923810989772437,2241,Simplified BARK,1,0.000244140625,0.09923810989772437,2048.0,0.5,False,2120151021
