Axis,Column,Number_of_Sites,Bin,Lower,Upper,Runs
gsdens,Ground_State_Density,6,low,0.09375,0.17708333333333315,60
gsdens,Ground_State_Density,6,mid,0.17708333333333315,0.484375,90
gsdens,Ground_State_Density,6,high,0.484375,0.5,30
gsdens,Ground_State_Density,8,low,0.04296875,0.1354166666666664,60
gsdens,Ground_State_Density,8,mid,0.1354166666666664,0.44401041666666663,60
gsdens,Ground_State_Density,8,high,0.44401041666666663,0.4921875,60
gsdens,Ground_State_Density,10,low,0.013671875,0.06119791666666656,60
gsdens,Ground_State_Density,10,mid,0.06119791666666656,0.3092447916666666,60
gsdens,Ground_State_Density,10,high,0.3092447916666666,0.4375,60
gsdens,Ground_State_Density,12,low,0.005615234375,0.035400390624999924,60
gsdens,Ground_State_Density,12,mid,0.035400390624999924,0.1991373697916666,60
gsdens,Ground_State_Density,12,high,0.1991373697916666,0.4189453125,60
hamdens,Hamiltonian_Density,6,low,0.0625,0.08333333333333326,60
hamdens,Hamiltonian_Density,6,mid,0.08333333333333326,0.11979166666666652,60
hamdens,Hamiltonian_Density,6,high,0.11979166666666652,0.15625,60
hamdens,Hamiltonian_Density,8,low,0.01953125,0.027343749999999972,60
hamdens,Hamiltonian_Density,8,mid,0.027343749999999972,0.039062499999999944,60
hamdens,Hamiltonian_Density,8,high,0.039062499999999944,0.05078125,60
hamdens,Hamiltonian_Density,10,low,0.005859375,0.008463541666666657,60
hamdens,Hamiltonian_Density,10,mid,0.008463541666666657,0.012044270833333315,60
hamdens,Hamiltonian_Density,10,high,0.012044270833333315,0.015625,60
hamdens,Hamiltonian_Density,12,low,0.001708984375,0.0025227864583333304,60
hamdens,Hamiltonian_Density,12,mid,0.0025227864583333304,0.003580729166666661,60
hamdens,Hamiltonian_Density,12,high,0.003580729166666661,0.004638671875,60
overlap,Overlap,6,low,0.0,3.826973589661467e-37,60
overlap,Overlap,6,mid,3.826973589661467e-37,0.06884143740764183,60
overlap,Overlap,6,high,0.06884143740764183,0.9724160913749051,60
overlap,Overlap,8,low,0.0,4.222902783556136e-39,60
overlap,Overlap,8,mid,4.222902783556136e-39,0.10234170863824722,60
overlap,Overlap,8,high,0.10234170863824722,0.9692755959913656,60
overlap,Overlap,10,low,0.0,7.658690308648271e-45,60
overlap,Overlap,10,mid,7.658690308648271e-45,0.0902337221987128,60
overlap,Overlap,10,high,0.0902337221987128,0.8968781503138193,60
overlap,Overlap,12,low,0.0,7.351369495189239e-45,60
overlap,Overlap,12,mid,7.351369495189239e-45,0.09387266529875216,60
overlap,Overlap,12,high,0.09387266529875216,0.881218179151777,60
