hamiltonian,num_sites,complexity,seed,ground_energy,ground_state_density,hamiltonian_density,initial_index,initial_bitstring,bark_setting,bark_convergence_dim,bark_final_subspace_dim,bark_final_energy,bark_runtime_seconds,best_skqd_timestep,best_skqd_convergence_dim,best_skqd_final_subspace_dim,best_skqd_final_energy,best_skqd_runtime_seconds,convergence_tolerance
low_seed42_n6,6,low,42,-0.5806999097730798,1.0,0.109375,4,000100,baseline,,49,-0.5804407684154139,0.06360540000605397,0.5,59,64,-0.5806999097730812,0.1056895000001532,1e-06
low_seed42_n6,6,low,42,-0.5806999097730798,1.0,0.109375,4,000100,best_first_only,,49,-0.5806926000067063,0.05637790000037057,0.5,59,64,-0.5806999097730812,0.1056895000001532,1e-06
low_seed42_n6,6,low,42,-0.5806999097730798,1.0,0.109375,4,000100,two_dimensional_only,,49,-0.5806947963582119,0.06615639999654377,0.5,59,64,-0.5806999097730812,0.1056895000001532,1e-06
low_seed42_n6,6,low,42,-0.5806999097730798,1.0,0.109375,4,000100,best_first_two_dimensional,,49,-0.5806984095835096,0.06797830000141403,0.5,59,64,-0.5806999097730812,0.1056895000001532,1e-06
low_seed42_n6,6,low,42,-0.5806999097730798,1.0,0.109375,4,000100,perturbative_only,,49,-0.5806948145453481,0.07912660000147298,0.5,59,64,-0.5806999097730812,0.1056895000001532,1e-06
low_seed42_n6,6,low,42,-0.5806999097730798,1.0,0.109375,4,000100,best_first_perturbative,,49,-0.5806984115122477,0.1093717999974615,0.5,59,64,-0.5806999097730812,0.1056895000001532,1e-06
medium_seed42_n6,6,medium,42,-1.5079867426290219,1.0,0.203125,17,010001,baseline,,49,-1.4786705662688178,0.0705113000003621,0.2,64,64,-1.5079867426290237,0.14787299999443348,1e-06
medium_seed42_n6,6,medium,42,-1.5079867426290219,1.0,0.203125,17,010001,best_first_only,,49,-1.4874164558793999,0.06670349999330938,0.2,64,64,-1.5079867426290237,0.14787299999443348,1e-06
medium_seed42_n6,6,medium,42,-1.5079867426290219,1.0,0.203125,17,010001,two_dimensional_only,,49,-1.5052847776377125,0.07850260000122944,0.2,64,64,-1.5079867426290237,0.14787299999443348,1e-06
medium_seed42_n6,6,medium,42,-1.5079867426290219,1.0,0.203125,17,010001,best_first_two_dimensional,,49,-1.5060681664647364,0.08002309999574209,0.2,64,64,-1.5079867426290237,0.14787299999443348,1e-06
medium_seed42_n6,6,medium,42,-1.5079867426290219,1.0,0.203125,17,010001,perturbative_only,,49,-1.5071409960860749,0.10341390000394313,0.2,64,64,-1.5079867426290237,0.14787299999443348,1e-06
medium_seed42_n6,6,medium,42,-1.5079867426290219,1.0,0.203125,17,010001,best_first_perturbative,,49,-1.5072162497184658,0.1057587000032072,0.2,64,64,-1.5079867426290237,0.14787299999443348,1e-06
high_seed42_n6,6,high,42,-3.5656088490938385,1.0,0.34375,10,001010,baseline,,49,-3.083899119593252,0.07103330000245478,1.0,64,64,-3.565608849093854,0.13019509999867296,1e-06
high_seed42_n6,6,high,42,-3.5656088490938385,1.0,0.34375,10,001010,best_first_only,,49,-3.3609620104410185,0.07015240000328049,1.0,64,64,-3.565608849093854,0.13019509999867296,1e-06
high_seed42_n6,6,high,42,-3.5656088490938385,1.0,0.34375,10,001010,two_dimensional_only,,49,-3.5374607541469203,0.09125290000520181,1.0,64,64,-3.565608849093854,0.13019509999867296,1e-06
high_seed42_n6,6,high,42,-3.5656088490938385,1.0,0.34375,10,001010,best_first_two_dimensional,,49,-3.5374607541468914,0.09294130000489531,1.0,64,64,-3.565608849093854,0.13019509999867296,1e-06
high_seed42_n6,6,high,42,-3.5656088490938385,1.0,0.34375,10,001010,perturbative_only,,49,-3.545215455773527,0.14903860000049463,1.0,64,64,-3.565608849093854,0.13019509999867296,1e-06
high_seed42_n6,6,high,42,-3.5656088490938385,1.0,0.34375,10,001010,best_first_perturbative,,49,-3.5451367745804587,0.15465319999930216,1.0,64,64,-3.565608849093854,0.13019509999867296,1e-06
