hamiltonian,num_sites,complexity,seed,ground_energy,ground_state_density,hamiltonian_sparsity,initial_index,initial_bitstring,bark_setting,bark_convergence_dim,bark_final_subspace_dim,bark_final_energy,bark_runtime_seconds,best_skqd_timestep,best_skqd_convergence_dim,best_skqd_final_subspace_dim,best_skqd_final_energy,best_skqd_runtime_seconds,convergence_tolerance
low_seed42_n6,6,low,42,-0.5806999097730798,1.0,0.109375,4,000100,baseline,,49,-0.5804407684154139,0.06135560000257101,0.3,57,64,-0.5806999097730815,0.11440739999670768,1e-06
low_seed42_n6,6,low,42,-0.5806999097730798,1.0,0.109375,4,000100,best_first_only,,49,-0.5806926000067063,0.06272699999681208,0.3,57,64,-0.5806999097730815,0.11440739999670768,1e-06
low_seed42_n6,6,low,42,-0.5806999097730798,1.0,0.109375,4,000100,perturbative_only,,49,-0.5806948145453478,0.08512550000159536,0.3,57,64,-0.5806999097730815,0.11440739999670768,1e-06
low_seed42_n6,6,low,42,-0.5806999097730798,1.0,0.109375,4,000100,best_first_perturbative,,49,-0.5806984115122498,0.09187540000129957,0.3,57,64,-0.5806999097730815,0.11440739999670768,1e-06
medium_seed42_n6,6,medium,42,-1.507986742629019,1.0,0.203125,17,010001,baseline,,49,-1.4786705662688195,0.07724410000082571,0.3,64,64,-1.5079867426290192,0.12309639999875799,1e-06
medium_seed42_n6,6,medium,42,-1.507986742629019,1.0,0.203125,17,010001,best_first_only,,49,-1.4874164558794054,0.06563150000147289,0.3,64,64,-1.5079867426290192,0.12309639999875799,1e-06
medium_seed42_n6,6,medium,42,-1.507986742629019,1.0,0.203125,17,010001,perturbative_only,,49,-1.5071409960860722,0.10197519999928772,0.3,64,64,-1.5079867426290192,0.12309639999875799,1e-06
medium_seed42_n6,6,medium,42,-1.507986742629019,1.0,0.203125,17,010001,best_first_perturbative,,49,-1.5072162497184722,0.12550749999354593,0.3,64,64,-1.5079867426290192,0.12309639999875799,1e-06
high_seed42_n6,6,high,42,-3.5656088490938447,1.0,0.34375,10,001010,baseline,,49,-3.0838991195932595,0.07215059999725781,0.9,64,64,-3.5656088490938624,0.14615179999964312,1e-06
high_seed42_n6,6,high,42,-3.5656088490938447,1.0,0.34375,10,001010,best_first_only,,49,-3.3609620104410203,0.07406040000205394,0.9,64,64,-3.5656088490938624,0.14615179999964312,1e-06
high_seed42_n6,6,high,42,-3.5656088490938447,1.0,0.34375,10,001010,perturbative_only,,49,-3.545215455773523,0.1480262999975821,0.9,64,64,-3.5656088490938624,0.14615179999964312,1e-06
high_seed42_n6,6,high,42,-3.5656088490938447,1.0,0.34375,10,001010,best_first_perturbative,,49,-3.5451367745804645,0.15378380000038305,0.9,64,64,-3.5656088490938624,0.14615179999964312,1e-06
