Hamiltonian_Index,Number_of_Sites,Max_Interactions,Fidelity,Penalty_Strength,Ground_State_Density,Hamiltonian_Density,Overlap,BARK_Pool_Size,SKQD_Pool_Size,Seed
1,8,1,0.8,1.0,0.0625,0.01953125,0.025543439204122654,3.0,inf,2197963892
1,8,1,0.85,1.0,0.0625,0.01953125,0.025543439204122654,3.0,inf,2197963892
1,8,1,0.9,1.0,0.0625,0.01953125,0.025543439204122654,7.0,inf,2197963892
1,8,1,0.95,1.0,0.0625,0.01953125,0.025543439204122654,11.0,13.0,2197963892
1,8,1,0.99,1.0,0.0625,0.01953125,0.025543439204122654,12.0,inf,2197963892
1,8,1,0.8,1.0,0.0625,0.01953125,0.029352306186393604,3.0,7.0,2197963892
1,8,1,0.85,1.0,0.0625,0.01953125,0.029352306186393604,3.0,7.0,2197963892
1,8,1,0.9,1.0,0.0625,0.01953125,0.029352306186393604,7.0,9.0,2197963892
1,8,1,0.95,1.0,0.0625,0.01953125,0.029352306186393604,11.0,inf,2197963892
1,8,1,0.99,1.0,0.0625,0.01953125,0.029352306186393604,12.0,13.0,2197963892
1,8,1,0.8,1.0,0.0625,0.01953125,0.05914761993860446,3.0,7.0,2197963892
1,8,1,0.85,1.0,0.0625,0.01953125,0.05914761993860446,3.0,6.0,2197963892
1,8,1,0.9,1.0,0.0625,0.01953125,0.05914761993860446,3.0,6.0,2197963892
1,8,1,0.95,1.0,0.0625,0.01953125,0.05914761993860446,7.0,inf,2197963892
1,8,1,0.99,1.0,0.0625,0.01953125,0.05914761993860446,11.0,inf,2197963892
1,8,1,0.8,1.0,0.0625,0.01953125,0.14056010977742267,2.0,3.0,2197963892
1,8,1,0.85,1.0,0.0625,0.01953125,0.14056010977742267,2.0,3.0,2197963892
1,8,1,0.9,1.0,0.0625,0.01953125,0.14056010977742267,7.0,8.0,2197963892
1,8,1,0.95,1.0,0.0625,0.01953125,0.14056010977742267,11.0,9.0,2197963892
1,8,1,0.99,1.0,0.0625,0.01953125,0.14056010977742267,12.0,inf,2197963892
1,8,1,0.8,1.0,0.0625,0.01953125,0.7162370839344839,2.0,2.0,2197963892
1,8,1,0.85,1.0,0.0625,0.01953125,0.7162370839344839,2.0,4.0,2197963892
1,8,1,0.9,1.0,0.0625,0.01953125,0.7162370839344839,6.0,3.0,2197963892
1,8,1,0.95,1.0,0.0625,0.01953125,0.7162370839344839,12.0,6.0,2197963892
1,8,1,0.99,1.0,0.0625,0.01953125,0.7162370839344839,12.0,8.0,2197963892
1,8,1,0.8,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.85,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.9,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.95,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.99,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.8,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.85,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.9,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.95,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.99,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.8,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.85,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.9,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.95,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.99,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.8,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.85,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.9,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.95,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.99,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.8,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.85,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.9,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.95,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
1,8,1,0.99,1.0,0.0625,0.01953125,0.0,inf,inf,2197963892
8,8,1,0.8,0.1,0.0625,0.01953125,0.07167944466188804,13.0,13.0,3464693766
8,8,1,0.85,0.1,0.0625,0.01953125,0.07167944466188804,14.0,inf,3464693766
8,8,1,0.9,0.1,0.0625,0.01953125,0.07167944466188804,15.0,inf,3464693766
8,8,1,0.95,0.1,0.0625,0.01953125,0.07167944466188804,16.0,inf,3464693766
8,8,1,0.99,0.1,0.0625,0.01953125,0.07167944466188804,16.0,inf,3464693766
8,8,1,0.8,0.1,0.0625,0.01953125,0.074660510080178,14.0,14.0,3464693766
8,8,1,0.85,0.1,0.0625,0.01953125,0.074660510080178,14.0,15.0,3464693766
8,8,1,0.9,0.1,0.0625,0.01953125,0.074660510080178,15.0,inf,3464693766
8,8,1,0.95,0.1,0.0625,0.01953125,0.074660510080178,16.0,16.0,3464693766
8,8,1,0.99,0.1,0.0625,0.01953125,0.074660510080178,16.0,16.0,3464693766
8,8,1,0.8,0.1,0.0625,0.01953125,0.08239394457663057,14.0,15.0,3464693766
8,8,1,0.85,0.1,0.0625,0.01953125,0.08239394457663057,14.0,15.0,3464693766
8,8,1,0.9,0.1,0.0625,0.01953125,0.08239394457663057,15.0,16.0,3464693766
8,8,1,0.95,0.1,0.0625,0.01953125,0.08239394457663057,16.0,inf,3464693766
8,8,1,0.99,0.1,0.0625,0.01953125,0.08239394457663057,16.0,inf,3464693766
8,8,1,0.8,0.1,0.0625,0.01953125,0.09672516959207288,14.0,14.0,3464693766
