Number_of_Sites,Ground_State_Density,Hamiltonian_Density,Max_Interactions,Fidelity,Overlap,BARK_Pool_Size,SKQD_Pool_Size
6,1.0,0.15625,1,0.8,0.0585906870912421,19,24
6,1.0,0.15625,1,0.8,0.06490405668903601,19,21
6,1.0,0.15625,1,0.8,0.10476814569010452,19,27
6,1.0,0.15625,1,0.8,0.12069598117935156,19,25
6,1.0,0.15625,1,0.8,0.13370143265949833,19,inf
6,1.0,0.15625,1,0.8,0.000115353072993767,19,inf
6,1.0,0.15625,1,0.8,0.00011587943732359577,19,63
6,1.0,0.15625,1,0.8,0.0001920645492042437,19,63
6,1.0,0.15625,1,0.8,0.0001929409534915541,21,59
6,1.0,0.15625,1,0.8,0.00024766646444473794,19,inf
6,1.0,0.15625,1,0.85,0.0585906870912421,21,27
6,1.0,0.15625,1,0.85,0.06490405668903601,21,29
6,1.0,0.15625,1,0.85,0.10476814569010452,21,29
6,1.0,0.15625,1,0.85,0.12069598117935156,21,32
6,1.0,0.15625,1,0.85,0.13370143265949833,21,33
6,1.0,0.15625,1,0.85,0.000115353072993767,21,58
6,1.0,0.15625,1,0.85,0.00011587943732359577,21,inf
6,1.0,0.15625,1,0.85,0.0001920645492042437,21,60
6,1.0,0.15625,1,0.85,0.0001929409534915541,23,inf
6,1.0,0.15625,1,0.85,0.00024766646444473794,21,inf
6,1.0,0.15625,1,0.9,0.0585906870912421,24,29
6,1.0,0.15625,1,0.9,0.06490405668903601,24,28
6,1.0,0.15625,1,0.9,0.10476814569010452,24,31
6,1.0,0.15625,1,0.9,0.12069598117935156,24,30
6,1.0,0.15625,1,0.9,0.13370143265949833,24,32
6,1.0,0.15625,1,0.9,0.000115353072993767,25,inf
6,1.0,0.15625,1,0.9,0.00011587943732359577,25,inf
6,1.0,0.15625,1,0.9,0.0001920645492042437,25,inf
6,1.0,0.15625,1,0.9,0.0001929409534915541,26,61
6,1.0,0.15625,1,0.9,0.00024766646444473794,25,59
6,1.0,0.203125,2,0.8,0.06906239661335982,38,inf
6,1.0,0.203125,2,0.8,0.07171574336315098,38,38
6,1.0,0.203125,2,0.8,0.07799117836841286,19,47
6,1.0,0.203125,2,0.8,0.0846290698521881,38,inf
