Hamiltonian_Index,Number_of_Sites,Max_Interactions,Fidelity,Ground_State_Density,Hamiltonian_Density,Overlap,BARK_Pool_Size,SKQD_Pool_Size,Seed
0,6,1,0.8,1.0,0.15625,0.0868743879952039,21.0,21.0,2934209945
0,6,1,0.8,1.0,0.15625,0.1132886044782483,15.0,19.0,2934209945
0,6,1,0.8,1.0,0.15625,0.1306168243009358,15.0,30.0,2934209945
0,6,1,0.8,1.0,0.15625,0.1458155472318477,21.0,18.0,2934209945
0,6,1,0.8,1.0,0.15625,0.1681189719022795,21.0,18.0,2934209945
0,6,1,0.8,1.0,0.15625,1.3527545060229664e-05,22.0,inf,2934209945
0,6,1,0.8,1.0,0.15625,1.4029174937396084e-05,45.0,inf,2934209945
0,6,1,0.8,1.0,0.15625,6.129344005719373e-05,16.0,inf,2934209945
0,6,1,0.8,1.0,0.15625,6.356632997698994e-05,46.0,inf,2934209945
0,6,1,0.8,1.0,0.15625,6.455501764772602e-05,36.0,58.0,2934209945
0,6,1,0.85,1.0,0.15625,0.0868743879952039,24.0,26.0,2934209945
0,6,1,0.85,1.0,0.15625,0.1132886044782483,17.0,26.0,2934209945
0,6,1,0.85,1.0,0.15625,0.1306168243009358,17.0,34.0,2934209945
0,6,1,0.85,1.0,0.15625,0.1458155472318477,24.0,25.0,2934209945
0,6,1,0.85,1.0,0.15625,0.1681189719022795,24.0,26.0,2934209945
0,6,1,0.85,1.0,0.15625,1.3527545060229664e-05,25.0,inf,2934209945
0,6,1,0.85,1.0,0.15625,1.4029174937396084e-05,48.0,inf,2934209945
0,6,1,0.85,1.0,0.15625,6.129344005719373e-05,18.0,inf,2934209945
0,6,1,0.85,1.0,0.15625,6.356632997698994e-05,49.0,inf,2934209945
0,6,1,0.85,1.0,0.15625,6.455501764772602e-05,37.0,inf,2934209945
0,6,1,0.9,1.0,0.15625,0.0868743879952039,29.0,24.0,2934209945
0,6,1,0.9,1.0,0.15625,0.1132886044782483,34.0,33.0,2934209945
0,6,1,0.9,1.0,0.15625,0.1306168243009358,34.0,30.0,2934209945
0,6,1,0.9,1.0,0.15625,0.1458155472318477,29.0,28.0,2934209945
0,6,1,0.9,1.0,0.15625,0.1681189719022795,29.0,30.0,2934209945
0,6,1,0.9,1.0,0.15625,1.3527545060229664e-05,36.0,inf,2934209945
0,6,1,0.9,1.0,0.15625,1.4029174937396084e-05,51.0,inf,2934209945
0,6,1,0.9,1.0,0.15625,6.129344005719373e-05,36.0,inf,2934209945
0,6,1,0.9,1.0,0.15625,6.356632997698994e-05,51.0,inf,2934209945
0,6,1,0.9,1.0,0.15625,6.455501764772602e-05,39.0,inf,2934209945
0,6,1,0.95,1.0,0.15625,0.0868743879952039,33.0,37.0,2934209945
0,6,1,0.95,1.0,0.15625,0.1132886044782483,35.0,30.0,2934209945
0,6,1,0.95,1.0,0.15625,0.1306168243009358,35.0,35.0,2934209945
0,6,1,0.95,1.0,0.15625,0.1458155472318477,33.0,34.0,2934209945
0,6,1,0.95,1.0,0.15625,0.1681189719022795,33.0,40.0,2934209945
0,6,1,0.95,1.0,0.15625,1.3527545060229664e-05,37.0,inf,2934209945
